Slide, Region, Positive, Count, Positivity
KI67 1 in 200 run6,light_zone,0,0,0
KI67 1 in 200 run6,dark_zone,0,0,0
KI67 1 in 200 run6,mantle,0,0,0
KI67 1 in 2 run6,germinal_center,18571,22863,0.8122731050
KI67 1 in 2 run6,light_zone,10062,12969,0.7758501041
KI67 1 in 2 run6,dark_zone,5875,6396,0.9185428393
KI67 1 in 2 run6,mantle,0,0,0
KI67 3 in 50 run6,germinal_center,11005,16161,0.6809603366
KI67 3 in 50 run6,light_zone,6909,11185,0.6177022798
KI67 3 in 50 run6,dark_zone,2808,3157,0.8894520114
KI67 3 in 50 run6,mantle,0,0,0
KI67 1 in 100 run6,germinal_center,930,8255,0.1126589945
KI67 1 in 100 run6,light_zone,0,0,0
KI67 1 in 100 run6,dark_zone,0,0,0
KI67 1 in 100 run6,mantle,0,0,0
KI67 3 in 4 run6,germinal_center,19379,23698,0.8177483332
KI67 3 in 4 run6,light_zone,10225,13171,0.7763267785
KI67 3 in 4 run6,dark_zone,6638,7286,0.9110623113
KI67 3 in 4 run6,mantle,0,0,0
KI67 1 in 50 run6,germinal_center,1609,8400,0.1915476190
KI67 1 in 50 run6,light_zone,0,0,0
KI67 1 in 50 run6,dark_zone,0,0,0
KI67 1 in 50 run6,mantle,0,0,0
