Slide, Region, Positive, Count, Positivity
KI67 1 in 4 run3,light_zone,24827,41337,0.6005999468
KI67 1 in 4 run3,dark_zone,17983,21114,0.8517097660
KI67 1 in 4 run3,mantle,6425,42058,0.1527652290
KI67 1 in 2 run3,germinal_center,60711,86393,0.7027305453
KI67 1 in 2 run3,light_zone,32529,50374,0.6457497916
KI67 1 in 2 run3,dark_zone,17455,20218,0.8633395984
KI67 1 in 2 run3,mantle,7868,50518,0.1557464666
KI67 3 in 4 run3,germinal_center,62188,88188,0.7051753073
KI67 3 in 4 run3,light_zone,33177,51662,0.6421934884
KI67 3 in 4 run3,dark_zone,16605,19256,0.8623286248
KI67 3 in 4 run3,mantle,7071,46955,0.1505909914
