Slide, Region, Positive, Count, Positivity
CaseKI67J_0055,dark_zone,6488,6950,0.9335251799
CaseKI67J_0055,mantle,1554,12545,0.1238740534
CaseKI67J_0056,germinal_center,20642,34527,0.5978509572
CaseKI67J_0056,light_zone,6740,15426,0.4369246726
CaseKI67J_0056,dark_zone,8411,10173,0.8267964219
CaseKI67J_0056,mantle,1487,41808,0.0355673555
CaseKI67J_0057,germinal_center,15239,21521,0.7080990660
CaseKI67J_0057,light_zone,6380,10512,0.6069254186
CaseKI67J_0057,dark_zone,5449,6130,0.8889070147
CaseKI67J_0057,mantle,1401,34197,0.0409685060
CaseKI67J_0058,germinal_center,15892,19698,0.8067824145
CaseKI67J_0058,light_zone,733,1185,0.6185654008
CaseKI67J_0058,dark_zone,13083,14852,0.8808914624
CaseKI67J_0058,mantle,2100,20942,0.1002769554
CaseKI67J_0059,germinal_center,44398,53044,0.8370032426
CaseKI67J_0059,light_zone,7650,11969,0.6391511404
CaseKI67J_0059,dark_zone,31442,33491,0.9388193843
CaseKI67J_0059,mantle,5429,77999,0.0696034565
CaseKI67J_0060,germinal_center,19098,24755,0.7714805090
CaseKI67J_0060,light_zone,2747,4415,0.6221970555
CaseKI67J_0060,dark_zone,12592,14349,0.8775524427
CaseKI67J_0060,mantle,4163,37010,0.1124831127
CaseKI67J_0061,germinal_center,39454,56197,0.7020659466
CaseKI67J_0061,light_zone,14269,25407,0.5616168772
CaseKI67J_0061,dark_zone,19203,21266,0.9029906894
CaseKI67J_0061,mantle,3993,61495,0.0649321083
CaseKI67J_0062,germinal_center,19409,29446,0.6591387625
CaseKI67J_0062,light_zone,6806,13327,0.5106925790
CaseKI67J_0062,dark_zone,8119,9235,0.8791553871
CaseKI67J_0062,mantle,1738,50480,0.0344294770
CaseKI67J_0063,germinal_center,45139,66662,0.6771323993
CaseKI67J_0063,light_zone,14892,28053,0.5308523153
CaseKI67J_0063,dark_zone,22724,25427,0.8936956778
CaseKI67J_0063,mantle,6273,81300,0.0771586716
