Slide, Region, Positivity
CaseKI67_0071,germinal_center,0.7759771211
CaseKI67_0071,light_zone,0.7154596543
CaseKI67_0071,dark_zone,0.8644911504
CaseKI67_0071,mantle,0.1196271997
CaseKI67_0072,germinal_center,0.8423733929
CaseKI67_0072,light_zone,0.7558301489
CaseKI67_0072,dark_zone,0.9201315309
CaseKI67_0072,mantle,0.2101148302
CaseKI67_0073,germinal_center,0.5729768786
CaseKI67_0073,light_zone,0
CaseKI67_0073,dark_zone,0.8386411890
CaseKI67_0073,mantle,0.1712424383
CaseKI67_0074,germinal_center,0.8473748474
CaseKI67_0074,light_zone,0
CaseKI67_0074,dark_zone,0.8834827145
CaseKI67_0074,mantle,0.1428571429
CaseKI67_0075,germinal_center,0.8542199488
CaseKI67_0075,light_zone,0.4920212766
CaseKI67_0075,dark_zone,0.9417637271
CaseKI67_0075,mantle,0.2342569270
CaseKI67_0077,germinal_center,0.6810286705
CaseKI67_0077,light_zone,0.6980987698
CaseKI67_0077,dark_zone,0.8510872557
CaseKI67_0077,mantle,0.1127607672
CaseKI67_0078,germinal_center,0.8160990786
CaseKI67_0078,light_zone,0.7274786822
CaseKI67_0078,dark_zone,0.8989562144
CaseKI67_0078,mantle,0.1272462449
CaseKI67_0079,germinal_center,0.7444099243
CaseKI67_0079,light_zone,0.6455979743
CaseKI67_0079,dark_zone,0.8905424200
CaseKI67_0079,mantle,0.1237844640
CaseKI67_0080,germinal_center,0.7978292454
CaseKI67_0080,light_zone,0.6862321513
CaseKI67_0080,dark_zone,0.9206005072
CaseKI67_0080,mantle,0.1306518647
CaseKI67_0083,germinal_center,0.7717429215
CaseKI67_0083,light_zone,0.7056966369
CaseKI67_0083,dark_zone,0.8939745075
CaseKI67_0083,mantle,0.0989552992
CaseKI67_0084,germinal_center,0.7174236280
CaseKI67_0084,light_zone,0.7165271967
CaseKI67_0084,dark_zone,0.8943188760
CaseKI67_0084,mantle,0.2118111387
CaseKI67_0085,germinal_center,0.7538763418
CaseKI67_0085,light_zone,0.6738333333
CaseKI67_0085,dark_zone,0.8685691318
CaseKI67_0085,mantle,0.1000069066
CaseKI67_0086,germinal_center,0.6932815740
CaseKI67_0086,light_zone,0.6398169732
CaseKI67_0086,dark_zone,0.8431192661
CaseKI67_0086,mantle,0.1037993713
CaseKI67_0087,germinal_center,0.6992063492
CaseKI67_0087,light_zone,0.6990131579
CaseKI67_0087,dark_zone,0.8675496689
CaseKI67_0087,mantle,0.1088113228
CaseKI67_0088,germinal_center,0.7197892832
CaseKI67_0088,light_zone,0.6951320512
CaseKI67_0088,dark_zone,0.8184210526
CaseKI67_0088,mantle,0.0930171692
CaseKI67_0089,germinal_center,0.8328367927
CaseKI67_0089,light_zone,0.7339595837
CaseKI67_0089,dark_zone,0.9133458579
CaseKI67_0089,mantle,0.1357026655
CaseKI67_0090,germinal_center,0
CaseKI67_0090,light_zone,0
CaseKI67_0090,dark_zone,0
CaseKI67_0090,mantle,0
CaseKI67J_0002,germinal_center,0.6632600544
CaseKI67J_0002,light_zone,0.6196015345
CaseKI67J_0002,dark_zone,0.8829712684
CaseKI67J_0002,mantle,0.0664824583
CaseKI67J_0003,germinal_center,0
CaseKI67J_0003,light_zone,0
CaseKI67J_0003,dark_zone,0
